Start log at 2022-12-16 17:37:41.841571
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,91000
2,yun,10,10,145000
3,naive,1,8,176000
4,yun,10,9,146000
5,naive,2,6,171000
6,yun,10,8,140000
7,naive,3,4,138000
8,yun,10,7,124000
9,naive,4,2,124000
10,yun,10,6,158000
11,naive,5,0,149000
12,yun,10,5,151000
13,naive,6,1,147000
14,yun,10,4,122000
15,naive,7,1,129000
16,yun,10,3,110000
17,naive,8,1,136000
18,yun,10,2,104000
19,naive,9,1,116000
20,yun,10,1,113000
21,naive,10,0,1977187000
22,yun,9,0,1935940000
23,naive,0,9,26478000
24,yun,8,4,2020664000
25,naive,2,7,26329000
26,yun,8,5,27235000
27,naive,3,5,27070000
28,yun,8,6,27078000
29,naive,4,3,28001000
30,yun,-2,,10856000
0,naive,End,Illegal move,False
0,Total,30,6116352000,203878400
0,naive,15,2086442000,139096133
0,yun,15,4023086000,268205733

