Start log at 2022-12-16 17:44:30.453667
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,50000
2,yun,10,10,148000
3,naive,1,8,186000
4,yun,10,9,155000
5,naive,2,6,195000
6,yun,10,8,197000
7,naive,3,4,225000
8,yun,10,7,149000
9,naive,4,2,161000
10,yun,10,6,156000
11,naive,5,0,256000
12,yun,10,5,159000
13,naive,6,1,157000
14,yun,10,4,158000
15,naive,7,1,170000
16,yun,10,3,121000
17,naive,8,1,118000
18,yun,10,2,106000
19,naive,9,1,117000
20,yun,10,1,132000
21,naive,10,0,1999846000
22,yun,9,0,1860991000
23,naive,-2,,27668000
0,yun,End,Illegal move,False
0,Total,23,3896683000,169421000
0,naive,12,2029149000,169095750
0,yun,11,1862472000,169315636

