Start log at 2022-12-16 17:50:19.820074
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,55000
2,yun,10,10,189000
3,naive,1,8,183000
4,yun,10,9,175000
5,naive,2,6,126000
6,yun,10,8,130000
7,naive,3,4,154000
8,yun,10,7,117000
9,naive,4,2,139000
10,yun,10,6,127000
11,naive,5,0,120000
12,yun,10,5,112000
13,naive,6,1,119000
14,yun,10,4,119000
15,naive,7,1,132000
16,yun,10,3,135000
17,naive,8,1,119000
18,yun,10,2,115000
19,naive,9,1,114000
20,yun,10,1,122000
21,naive,10,0,1922442000
22,yun,9,0,2038776000
23,naive,1,9,26507000
24,yun,4,0,2027634000
25,naive,2,7,27366000
26,yun,0,7,1955430000
27,naive,3,5,27461000
28,yun,5,1,1765848000
29,naive,4,1,13997000
30,yun,0,1,1811956000
31,naive,8,5,1704722000
32,yun,1,4,1714619000
33,naive,4,9,1770614000
34,yun,9,2,1758235000
35,naive,6,2,1586505000
36,yun,6,7,1601859000
37,naive,5,8,1507042000
38,yun,6,8,25780000
39,naive,8,8,1431374000
40,yun,6,9,24709000
41,naive,4,3,1458236000
42,yun,5,2,6880000
43,naive,5,3,19033000
0,naive,End,Win,False
0,Total,43,26241424000,610265674
0,naive,22,11496560000,522570909
0,yun,21,14733067000,701574619

