Start log at 2022-12-16 17:49:56.566618
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,71000
2,yun,10,10,184000
3,naive,1,8,169000
4,yun,10,9,138000
5,naive,2,6,138000
6,yun,10,8,132000
7,naive,3,4,129000
8,yun,10,7,143000
9,naive,4,2,135000
10,yun,10,6,142000
11,naive,5,0,279000
12,yun,10,5,165000
13,naive,6,1,121000
14,yun,10,4,112000
15,naive,7,1,135000
16,yun,10,3,139000
17,naive,8,1,126000
18,yun,10,2,119000
19,naive,9,1,115000
20,yun,10,1,119000
21,naive,10,0,1950856000
22,yun,9,0,1970296000
23,naive,1,9,25893000
24,yun,3,6,1920571000
25,naive,2,7,25982000
26,yun,3,7,27389000
27,naive,3,5,26634000
28,yun,3,8,27339000
29,naive,4,3,26607000
30,yun,5,1,6692000
31,naive,4,1,13459000
32,yun,5,2,6942000
33,naive,6,0,21767000
0,naive,End,Win,False
0,Total,33,6061020000,183667272
0,naive,17,2092616000,123095058
0,yun,16,3960622000,247538875

