Start log at 2022-12-16 17:35:56.309133
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,87000
2,yun,10,10,172000
3,naive,1,8,221000
4,yun,10,9,140000
5,naive,2,6,139000
6,yun,10,8,129000
7,naive,3,4,125000
8,yun,10,7,135000
9,naive,4,2,138000
10,yun,10,6,124000
11,naive,5,0,137000
12,yun,10,5,116000
13,naive,6,1,112000
14,yun,10,4,137000
15,naive,7,1,160000
16,yun,10,3,138000
17,naive,8,1,253000
18,yun,10,2,123000
19,naive,9,1,120000
20,yun,10,1,119000
21,naive,10,0,1924241000
22,yun,9,0,1860977000
23,naive,0,9,26224000
24,yun,3,10,1934528000
25,naive,2,7,26545000
26,yun,9,4,1876872000
27,naive,3,5,26955000
28,yun,7,4,1769120000
29,naive,4,3,27199000
30,yun,-2,,10160000
0,naive,End,Illegal move,False
0,Total,30,9492675000,316422500
0,naive,15,2032656000,135510400
0,yun,15,7452990000,496866000

