Start log at 2022-12-16 16:12:45.170338
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,81000
2,yun,10,10,141000
3,naive,2,9,208000
4,yun,10,9,162000
5,naive,4,8,155000
6,yun,10,8,142000
7,naive,6,7,167000
8,yun,10,7,122000
9,naive,8,6,141000
10,yun,10,6,153000
11,naive,10,5,246000
12,yun,10,4,2350842000
13,naive,1,10,14576000
14,yun,10,3,173000
15,naive,3,9,14468000
16,yun,10,2,148000
17,naive,5,8,14740000
18,yun,10,1,130000
19,naive,7,7,14727000
20,yun,10,0,162000
21,naive,9,5,15060000
0,naive,End,Win,False
0,Total,21,2432046000,115811714
0,naive,11,74569000,6779000
0,yun,10,2352175000,235217500

